"","Compound","Che.type","Cell.type","Addition.Type","Time","Compartment_new","Compartment","X..Recovery","Volume..uL.","Used.Volume..uL.","Input.Amount..pmol.","Input.Amount.umol","Estimated.amount..pmol.","Estimated.Concentration.uM","seach","Pred_conc","ratio","abs.dev"
"63","8_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",10.43159826,235,235,1175,0.001175,122.5712796,0.521579913,"BtoA_24_Blood",1.21208,0.366210427618547,0.366210427618547
"64","8_2_FTS","PFAS","OAT1","BtoA",24,"Blood","Blood",7.744866551,235,235,1175,0.001175,91.00218198,0.387243328,"BtoA_24_Blood",1.21208,0.495547341357731,0.495547341357731
"65","8_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",1.57910341,75,75,1175,0.001175,18.55446507,0.247392868,"BtoA_24_Lumen",0.771957,0.494205934330236,0.494205934330236
"66","8_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",2.688887276,75,75,1175,0.001175,31.59442549,0.421259007,"BtoA_24_Lumen",0.771957,0.26304390999236,0.26304390999236
"67","8_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",1.604061433,75,75,1175,0.001175,18.84772184,0.251302958,"BtoA_24_Lumen",0.771957,0.487395509131955,0.487395509131955
"68","8_2_FTS","PFAS","OAT1","BtoA",24,"Lumen","Lumen",2.041149564,75,75,1175,0.001175,23.98350737,0.319780098,"BtoA_24_Lumen",0.771957,0.38274167840971,0.38274167840971
"69","8_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",71.42780519,30,0.025307623,1175,0.001175,839.276711,33163.00008,"BtoA_24_Cell",32244.3,-0.0122008588018641,0.0122008588018641
"70","8_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",92.546349,30,0.025307623,1175,0.001175,1087.419601,42968.06505,"BtoA_24_Cell",32244.3,-0.124692843690467,0.124692843690467
"71","8_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",108.2509403,30,0.025307623,1175,0.001175,1271.948549,50259.50235,"BtoA_24_Cell",32244.3,-0.192765230900761,0.192765230900761
"72","8_2_FTS","PFAS","OAT1","BtoA",24,"Cell","Cell",89.40190808,30,0.025307623,1175,0.001175,1050.47242,41508.14207,"BtoA_24_Cell",32244.3,-0.10968034136269,0.10968034136269
"525","8_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",19.46167322,75,75,375,0.000375,72.98127457,0.973083661,"AtoB_4_Lumen",0.419973,-0.364928809831152,0.364928809831152
"526","8_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",43.47156545,75,75,375,0.000375,163.0183704,2.173578272,"AtoB_4_Lumen",0.419973,-0.713953913472262,0.713953913472262
"527","8_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",54.30721219,75,75,375,0.000375,203.6520457,2.71536061,"AtoB_4_Lumen",0.419973,-0.810606143109853,0.810606143109853
"528","8_2_FTS","PFAS","OAT1","AtoB",4,"Lumen","Lumen",23.27066532,75,75,375,0.000375,87.26499493,1.163533266,"AtoB_4_Lumen",0.419973,-0.442557433927954,0.442557433927954
"529","8_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",54.30153557,235,235,375,0.000375,203.6307584,0.866513866,"AtoB_4_Blood",0.3357995,-0.411695471563368,0.411695471563368
"530","8_2_FTS","PFAS","OAT1","AtoB",4,"Blood","Blood",43.88823874,235,235,375,0.000375,164.5808953,0.700344235,"AtoB_4_Blood",0.3357995,-0.31923151288889,0.31923151288889
